compile_order,circuit_inventory_id,pair_id,regime,depth,two_qubit_count,num_qubits,ops
152,zz4_H0_zz4_pair_0152,zz4_pair_0152,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
153,zz4_H0_zz4_pair_0153,zz4_pair_0153,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
154,zz4_H0_zz4_pair_0154,zz4_pair_0154,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
155,zz4_H0_zz4_pair_0155,zz4_pair_0155,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
156,zz4_H0_zz4_pair_0156,zz4_pair_0156,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
157,zz4_H0_zz4_pair_0157,zz4_pair_0157,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
158,zz4_H0_zz4_pair_0158,zz4_pair_0158,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
159,zz4_H0_zz4_pair_0159,zz4_pair_0159,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
160,zz4_H0_zz4_pair_0160,zz4_pair_0160,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
161,zz4_H0_zz4_pair_0161,zz4_pair_0161,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
162,zz4_H0_zz4_pair_0162,zz4_pair_0162,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
163,zz4_H0_zz4_pair_0163,zz4_pair_0163,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
164,zz4_H0_zz4_pair_0164,zz4_pair_0164,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
165,zz4_H0_zz4_pair_0165,zz4_pair_0165,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
166,zz4_H0_zz4_pair_0166,zz4_pair_0166,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
167,zz4_H0_zz4_pair_0167,zz4_pair_0167,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
168,zz4_H0_zz4_pair_0168,zz4_pair_0168,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
169,zz4_H0_zz4_pair_0169,zz4_pair_0169,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
