regime_id,pub_order,circuit_inventory_id,pair_id,i,j,all_zero_key,all_zero_count,shots_observed,kernel_value_raw
H0,196,zz4_H0_zz4_pair_0196,zz4_pair_0196,10,11,0000,33,1024,0.0322265625
H0,197,zz4_H0_zz4_pair_0197,zz4_pair_0197,10,12,0000,26,1024,0.025390625
H0,198,zz4_H0_zz4_pair_0198,zz4_pair_0198,10,13,0000,16,1024,0.015625
H0,199,zz4_H0_zz4_pair_0199,zz4_pair_0199,10,14,0000,28,1024,0.02734375
H0,200,zz4_H0_zz4_pair_0200,zz4_pair_0200,10,15,0000,16,1024,0.015625
H0,201,zz4_H0_zz4_pair_0201,zz4_pair_0201,10,16,0000,43,1024,0.0419921875
H0,202,zz4_H0_zz4_pair_0202,zz4_pair_0202,10,17,0000,110,1024,0.107421875
H0,203,zz4_H0_zz4_pair_0203,zz4_pair_0203,10,18,0000,176,1024,0.171875
H0,204,zz4_H0_zz4_pair_0204,zz4_pair_0204,10,19,0000,57,1024,0.0556640625
H0,205,zz4_H0_zz4_pair_0205,zz4_pair_0205,10,20,0000,93,1024,0.0908203125
H0,206,zz4_H0_zz4_pair_0206,zz4_pair_0206,10,21,0000,84,1024,0.08203125
H0,207,zz4_H0_zz4_pair_0207,zz4_pair_0207,10,22,0000,425,1024,0.4150390625
H0,208,zz4_H0_zz4_pair_0208,zz4_pair_0208,10,23,0000,65,1024,0.0634765625
H0,209,zz4_H0_zz4_pair_0209,zz4_pair_0209,11,11,0000,968,1024,0.9453125
H0,210,zz4_H0_zz4_pair_0210,zz4_pair_0210,11,12,0000,92,1024,0.08984375
H0,211,zz4_H0_zz4_pair_0211,zz4_pair_0211,11,13,0000,34,1024,0.033203125
H0,212,zz4_H0_zz4_pair_0212,zz4_pair_0212,11,14,0000,44,1024,0.04296875
H0,213,zz4_H0_zz4_pair_0213,zz4_pair_0213,11,15,0000,49,1024,0.0478515625
H0,214,zz4_H0_zz4_pair_0214,zz4_pair_0214,11,16,0000,302,1024,0.294921875
H0,215,zz4_H0_zz4_pair_0215,zz4_pair_0215,11,17,0000,30,1024,0.029296875
H0,216,zz4_H0_zz4_pair_0216,zz4_pair_0216,11,18,0000,29,1024,0.0283203125
H0,217,zz4_H0_zz4_pair_0217,zz4_pair_0217,11,19,0000,301,1024,0.2939453125
H0,218,zz4_H0_zz4_pair_0218,zz4_pair_0218,11,20,0000,43,1024,0.0419921875
H0,219,zz4_H0_zz4_pair_0219,zz4_pair_0219,11,21,0000,177,1024,0.1728515625
H0,220,zz4_H0_zz4_pair_0220,zz4_pair_0220,11,22,0000,49,1024,0.0478515625
H0,221,zz4_H0_zz4_pair_0221,zz4_pair_0221,11,23,0000,25,1024,0.0244140625
H0,222,zz4_H0_zz4_pair_0222,zz4_pair_0222,12,12,0000,968,1024,0.9453125
H0,223,zz4_H0_zz4_pair_0223,zz4_pair_0223,12,13,0000,92,1024,0.08984375
H0,224,zz4_H0_zz4_pair_0224,zz4_pair_0224,12,14,0000,76,1024,0.07421875
H0,225,zz4_H0_zz4_pair_0225,zz4_pair_0225,12,15,0000,36,1024,0.03515625
H0,226,zz4_H0_zz4_pair_0226,zz4_pair_0226,12,16,0000,174,1024,0.169921875
H0,227,zz4_H0_zz4_pair_0227,zz4_pair_0227,12,17,0000,111,1024,0.1083984375
H0,228,zz4_H0_zz4_pair_0228,zz4_pair_0228,12,18,0000,161,1024,0.1572265625
H0,229,zz4_H0_zz4_pair_0229,zz4_pair_0229,12,19,0000,70,1024,0.068359375
H0,230,zz4_H0_zz4_pair_0230,zz4_pair_0230,12,20,0000,60,1024,0.05859375
H0,231,zz4_H0_zz4_pair_0231,zz4_pair_0231,12,21,0000,136,1024,0.1328125
H0,232,zz4_H0_zz4_pair_0232,zz4_pair_0232,12,22,0000,109,1024,0.1064453125
H0,233,zz4_H0_zz4_pair_0233,zz4_pair_0233,12,23,0000,71,1024,0.0693359375
H0,234,zz4_H0_zz4_pair_0234,zz4_pair_0234,13,13,0000,958,1024,0.935546875
H0,235,zz4_H0_zz4_pair_0235,zz4_pair_0235,13,14,0000,70,1024,0.068359375
H0,236,zz4_H0_zz4_pair_0236,zz4_pair_0236,13,15,0000,96,1024,0.09375
H0,237,zz4_H0_zz4_pair_0237,zz4_pair_0237,13,16,0000,32,1024,0.03125
H0,238,zz4_H0_zz4_pair_0238,zz4_pair_0238,13,17,0000,112,1024,0.109375
H0,239,zz4_H0_zz4_pair_0239,zz4_pair_0239,13,18,0000,83,1024,0.0810546875
H0,240,zz4_H0_zz4_pair_0240,zz4_pair_0240,13,19,0000,61,1024,0.0595703125
H0,241,zz4_H0_zz4_pair_0241,zz4_pair_0241,13,20,0000,194,1024,0.189453125
H0,242,zz4_H0_zz4_pair_0242,zz4_pair_0242,13,21,0000,35,1024,0.0341796875
H0,243,zz4_H0_zz4_pair_0243,zz4_pair_0243,13,22,0000,44,1024,0.04296875
H0,244,zz4_H0_zz4_pair_0244,zz4_pair_0244,13,23,0000,30,1024,0.029296875
H0,245,zz4_H0_zz4_pair_0245,zz4_pair_0245,14,14,0000,966,1024,0.943359375
H0,246,zz4_H0_zz4_pair_0246,zz4_pair_0246,14,15,0000,85,1024,0.0830078125
H0,247,zz4_H0_zz4_pair_0247,zz4_pair_0247,14,16,0000,42,1024,0.041015625
H0,248,zz4_H0_zz4_pair_0248,zz4_pair_0248,14,17,0000,93,1024,0.0908203125
H0,249,zz4_H0_zz4_pair_0249,zz4_pair_0249,14,18,0000,108,1024,0.10546875
H0,250,zz4_H0_zz4_pair_0250,zz4_pair_0250,14,19,0000,45,1024,0.0439453125
H0,251,zz4_H0_zz4_pair_0251,zz4_pair_0251,14,20,0000,179,1024,0.1748046875
H0,252,zz4_H0_zz4_pair_0252,zz4_pair_0252,14,21,0000,80,1024,0.078125
H0,253,zz4_H0_zz4_pair_0253,zz4_pair_0253,14,22,0000,112,1024,0.109375
H0,254,zz4_H0_zz4_pair_0254,zz4_pair_0254,14,23,0000,57,1024,0.0556640625
H0,255,zz4_H0_zz4_pair_0255,zz4_pair_0255,15,15,0000,958,1024,0.935546875
H0,256,zz4_H0_zz4_pair_0256,zz4_pair_0256,15,16,0000,125,1024,0.1220703125
H0,257,zz4_H0_zz4_pair_0257,zz4_pair_0257,15,17,0000,30,1024,0.029296875
H0,258,zz4_H0_zz4_pair_0258,zz4_pair_0258,15,18,0000,18,1024,0.017578125
H0,259,zz4_H0_zz4_pair_0259,zz4_pair_0259,15,19,0000,64,1024,0.0625
H0,260,zz4_H0_zz4_pair_0260,zz4_pair_0260,15,20,0000,33,1024,0.0322265625
H0,261,zz4_H0_zz4_pair_0261,zz4_pair_0261,15,21,0000,26,1024,0.025390625
H0,262,zz4_H0_zz4_pair_0262,zz4_pair_0262,15,22,0000,31,1024,0.0302734375
H0,263,zz4_H0_zz4_pair_0263,zz4_pair_0263,15,23,0000,58,1024,0.056640625
H0,264,zz4_H0_zz4_pair_0264,zz4_pair_0264,16,16,0000,956,1024,0.93359375
H0,265,zz4_H0_zz4_pair_0265,zz4_pair_0265,16,17,0000,85,1024,0.0830078125
H0,266,zz4_H0_zz4_pair_0266,zz4_pair_0266,16,18,0000,82,1024,0.080078125
H0,267,zz4_H0_zz4_pair_0267,zz4_pair_0267,16,19,0000,381,1024,0.3720703125
H0,268,zz4_H0_zz4_pair_0268,zz4_pair_0268,16,20,0000,48,1024,0.046875
H0,269,zz4_H0_zz4_pair_0269,zz4_pair_0269,16,21,0000,56,1024,0.0546875
H0,270,zz4_H0_zz4_pair_0270,zz4_pair_0270,16,22,0000,51,1024,0.0498046875
